"","year","TOT_EMP","H_MEAN","A_MEAN","SELF_EMP","ALL_EMP"
"1",2004,3890,13.33,27720,5328,9218
"2",2005,4300,13.15,27360,5890,10190
"3",2006,4870,13.75,28610,6670,11540
"4",2007,5390,14.48,30110,7383,12773
"5",2008,5440,15.66,32570,7451,12891
"6",2009,5380,15.9,33070,7369,12749
"7",2010,4790,15.39,32010,6561,11351
"8",2011,4810,15.51,32270,6588,11398
"9",2012,4810,16.94,35240,6588,11398
"10",2013,4750,17.6,36600,6506,11256
"11",2014,4760,17.45,36300,6520,11280
